COUNTRY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Isle of Man,,,,,,,,,,,,,,,,,,,
India,,61.0145607,,,,,62.75447083,,,,,69.3025589,,,,,,,
Not classified,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",,,77,,,82.44120026,82.33132172,,82.96230316,,,,83.62599182,84.62680054,84.70523834,,85.54425049,,
Iraq,74.05220032,,,,,,,,,,,,,43.68328094,,,,,
Iceland,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,
Italy,,98.41661835,,,,,,,,,,98.84828186,,,,,,,
Jamaica,,,,,,,,,,,,,,,88.09999847,,,,
Jordan,,,,89.89231873,,91.13075256,,92.19957733,,,92.55104065,95.90444946,97.89031982,,,,,,
Japan,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,99.73240662,99.78163147,,,,,,,,
Kenya,82.2290802,,,,,,,72.1570282,,,,,,,78.73303986,,,,
Kyrgyz Republic,,,,,,,,,,99.24343109,,,,,,,,,
Cambodia,,,,,73.6099472,,,,77.58654022,73.90003204,,,,,78.05509186,80.52648926,,,
Kiribati,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,93.27445984,93.28211975,93.6641922,93.89830017,,94.4690094,,95.51316833,95.58582306,,95.68544769,,96.03594971,96.05647278
Latin America & Caribbean (excluding high income),88.74150848,88.9282608,89.00611115,89.84925079,89.71658325,90.24292755,90.12380219,90.5370636,90.90380096,91.11196899,91.3344574,91.94426727,92.19719696,92.26499176,92.70337677,93.06719208,93.37248993,,
Lao PDR,69.58312225,68.73439026,,,,72.70226288,,,,,,58.28794098,,,,84.66104126,,,
Lebanon,,,,,,,,89.61244202,,91.18418884,,,,,,,,,
Liberia,,,,,,,,42.94107819,,,,,,,,,,,
Libya,,,,,86.09999847,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,89.06632233,89.24803925,89.32666779,90.12548828,90.0045166,90.50968933,90.40762329,90.87187195,91.22701263,91.42324066,91.60362244,92.15992737,92.40930176,92.45332336,92.87992859,93.23081207,93.52506256,,
Least developed countries: UN classification,51.99468994,52.67646027,53.33058929,54.16402054,55.65092087,55.41897964,54.80268097,54.21678925,55.51192093,56.46686935,56.82659912,54.96614838,60.36880112,60.90744019,61.68537903,62.25664902,62.94580841,,
Low income,50.67087936,51.36116028,51.64633179,52.29029846,54.11169815,53.26303101,53.08420944,54.23257828,53.40460968,54.66439819,54.75828934,56.81752014,57.9546814,58.385849,59.27930069,59.75239182,60.58161163,,
Liechtenstein,,,,,,,,,,,,,,,,,,,
Sri Lanka,,90.68274689,,,,,90.80883026,,90.55795288,,91.18135834,,,,,,92.38690186,91.89575195,
Lower middle income,66.67575073,67.18486023,68.01937103,68.84452057,69.55522919,69.40596771,69.41221619,69.83737946,70.79360199,71.43398285,72.71434784,72.24664307,74.21018982,74.65994263,75.36975098,75.83825684,76.35028076,,
Low & middle income,77.33614349,77.68524933,78.12303162,78.76400757,79.37000275,79.35941315,79.37728882,80.03067017,80.44711304,80.861763,81.39550018,81.42259216,82.38005829,82.552742,82.96363068,83.23757935,83.53695679,,
Lesotho,86.25443268,,,,,,,,,75.80020142,,,,,76.6352005,,,,
Late-demographic dividend,91.23161316,91.49249268,91.80113983,92.18956757,92.59892273,92.92668915,93.1428833,94.13619232,94.35743713,94.63939667,94.64498901,95.16747284,95.33672333,95.39803314,95.55239105,95.73705292,95.89058685,,
Lithuania,,99.64575195,,,,,,,,,,99.81559753,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,
Latvia,99.74656677,,,,,,,,,,,99.89589691,,,,,,,
"Macao SAR, China",,91.29537201,,,,,93.49974823,,,,,95.64003754,,,,,96.5384903,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,
Morocco,,,,,52.30625916,,,,55.1479187,56.08367157,,67.08415985,69.42539215,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,
Moldova,96.65380096,,,,,,,,,,,,99.13831329,,,,,,
Madagascar,70.68617249,,,,,,,,,64.48091125,,,71.57261658,,,,,,
Maldives,,,,,,,98.39790344,,,,,,,,98.61012268,,,,
Middle East & North Africa,68.91087341,70.05267334,70.49974823,73.75778198,74.68318176,75.13865662,74.42167664,74.99793243,75.59986115,75.54781342,76.39717865,77.13008118,77.64801788,78.0198288,78.48583221,79.24977112,79.64688873,,
Mexico,90.53562164,,90.27465057,,90.95374298,91.63027191,91.73451996,92.79517365,92.92559814,93.44187927,93.06893921,93.51998138,94.22840118,93.96285248,94.55587769,94.47228241,94.85961914,,
Marshall Islands,,,,,,,,,,,,98.26508331,,,,,,,
Middle income,79.31067657,79.64893341,80.11367798,80.77113342,81.30262756,81.37667084,81.431427,82.06939697,82.61116028,82.98731232,83.58960724,83.4817276,84.4596405,84.64800262,85.05551147,85.35088348,85.64067841,,
North Macedonia,,,96.12892914,,,,,,,,,,,,97.80000305,,,,
Mali,,,,24,,,26.17654991,,,,31.09975052,33.56093979,,,,33.06888962,,,
Malta,,,,,,92.36309052,,,,,,93.30735779,,,,,,,
Myanmar,89.9417572,,,,,,,,,,,,,,,,75.55120087,,
Middle East & North Africa (excluding high income),66.88336945,68.04286194,68.36533356,72.03798676,72.95436096,73.37648773,72.38902283,72.88130188,73.37844086,73.16960144,74.00966644,74.19838715,74.71401215,75.00969696,75.51625061,76.35774994,76.78292084,,
Montenegro,,,,97.77346039,,,,,,,,98.44220734,,,,,,,
Mongolia,97.76885223,,,,,,,,,,98.25700378,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,
Mozambique,,,,48.15884018,,,,,,50.5838089,,,,,,56.03900146,,,
Mauritania,51.20767975,,,,,,,45.50378036,,,,,,,,,,,
Mauritius,84.30309296,,,,,,,,,,,89.24983978,91.76600647,91.49002838,92.47476196,92.70760345,93.15783691,,
Malawi,,,,,,,,,,,61.30971909,,,,65.14537048,62.14353943,,,
Malaysia,88.6877594,,,,,,,,,,93.1178894,,,,,,93.73470306,,
North America,,,,,,,,,,,,,,,,,,,
Namibia,,84.94425964,,,,,,76.48658752,,,,88.27462769,,,,,,,
New Caledonia,,,,,,,,,,,,,,,97.80000305,,,,
Niger,,14.37604046,,,,28.6724205,,,,,,,30.56039047,,,,,,
Nigeria,,,,54.7731781,,,,,51.07765961,,,,,,,,,,
Nicaragua,,76.67713165,,,,78.00298309,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,
Nepal,,48.60897064,,,,,,,,,,59.62725067,,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,
OECD members,,,,,,,,,,,,,,,,,,,
Oman,,,,81.36331177,,,,,86.62113953,,86.93900299,,,,91.98120117,93.03861237,94.89998627,96.11154938,
Other small states,78.04830933,78.71025085,79.44690704,80.06439209,80.46569824,80.98235321,80.52832794,79.74800873,80.93784332,80.40239716,81.07433319,81.56349182,81.98121643,82.44064331,82.67977905,83.11836243,83.31598663,,
Pakistan,,,,,,49.87363815,54.15121078,,55.526371,54.89263916,55.37519073,54.73802185,56.76433945,55.59498978,56.97714996,,,,
Panama,91.89962006,,,,,,,,,,94.09411621,,,,,,,,
Peru,,,,,87.66985321,87.90866852,88.69934082,89.59081268,,,,,93.84172821,,93.70794678,94.16233826,94.17366791,94.14961243,
Philippines,92.60005951,,,92.59069061,,,,,95.42009735,,,,,96.39800262,,,,,
Palau,,,,,,,,,,,,,,99.50312805,,96.59374237,,,
Papua New Guinea,57.34326172,,,,,,,,,,61.59999847,,,,,,,,
Poland,,,,,,,,,98.74273682,,,,,,,,,,
Pre-demographic dividend,55.15354156,56.12884903,56.71577835,57.07590866,58.37691879,57.89717865,57.10726166,55.7674408,55.0008316,54.80424118,55.16316986,56.93675995,58.03313065,58.32400131,59.25730133,59.8346405,60.6166687,,
Puerto Rico,,,,,,,,,,,91.96523285,,,,,,,92.38999939,
"Korea, Dem. People’s Rep.",,,,,,,,,99.99819183,,,,,,,,,,
Portugal,,,,,,,,,,,,94.47705078,,,,,,,
Paraguay,,,,,,,,94.55821991,93.29208374,93.75424194,93.87091827,,94.19747162,95.05903625,94.61672211,95.55484009,94.65023804,,
West Bank and Gaza,,,,,92.27996826,,93.45001221,93.88214111,92.53616333,94.59916687,94.93200684,95.26724243,95.90621948,96.28489685,96.4283905,96.69072723,96.93022919,,
Pacific island small states,,,,,,,,,,,,,,,,,,,
Post-demographic dividend,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,
Qatar,,,,,88.96238708,,,93.08274078,93.98973083,94.72428894,,,,90.63298798,91.3272171,,93.14530182,,
Romania,,,97.29759216,,,,,,,,,98.60428619,,,,,,,
Russian Federation,,,99.44097137,,,,,,,,99.68427277,,,,,,,,
Rwanda,64.88860321,,,,,,,,,,65.85227203,,68.3310318,,70.80413055,,,,
South Asia,57.65711975,58.13344955,59.18188858,60.06938934,60.84138107,60.60573959,60.81666183,61.92105103,63.41836166,64.123909,65.83157349,65.45858002,68.32433319,68.87436676,69.66934204,70.27439117,70.99703979,,
Saudi Arabia,79.35093689,,,,82.85774231,,,,,,,,,94.4263382,,,,,
Sudan,61.34587097,,,,,,,,53.51737976,,,,,,,,,,
Senegal,,,39.27524948,,,,41.89115143,,,49.69512939,,52.05195999,,42.81750107,,,,51.90042114,
Singapore,92.54940033,,,,,,,,,,95.85733032,96.18608093,96.36978912,96.54808044,96.71665955,96.82549286,97.04959106,,
Solomon Islands,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,34.82678986,,,,,,,,,32.42617035,,,,,
El Salvador,,,,,,,83.5594635,82.02863312,83.95130157,84.10289001,84.49272156,85.49398804,,86.76757813,,87.96984863,88.14176941,88.48271179,
San Marino,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,97.96240997,,,,,98.84150696,,
Sub-Saharan Africa (excluding high income),56.24187088,57.18104172,57.67967987,58.08811188,59.97229004,59.00991058,58.5082016,58.05929184,57.54539871,58.81455994,59.17684174,60.75777817,61.80730057,62.31554031,63.04249954,63.61611938,64.34633636,,
South Sudan,,,,,,,,,26.83127975,,,,,,,,,,
Sub-Saharan Africa,56.24729919,57.18643951,57.68503952,58.09352112,59.97745895,59.01525879,58.51361084,58.0647316,57.55083847,58.81977081,59.1819191,60.7625885,61.81188965,62.31998062,63.04676056,63.62022018,64.35027313,,
Small states,80.77915192,81.29345703,81.85530853,82.32953644,82.64964294,83.04853821,82.740448,82.2582016,83.12731171,82.74810791,83.2141571,83.55760956,83.82282257,84.12596893,84.29625702,84.6255188,84.77136993,,
Sao Tome and Principe,,84.9085083,,,,,,,69.53639221,,,,90.14309692,,,,,,
Suriname,,,,,89.59806061,,,,94.62094116,,94.67575073,,92.86865997,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,99.69999695,,,,,,,,,,99.69999695,,,,
Sweden,,,,,,,,,,,,,,,,,,,
Eswatini,81.66069794,,,,,,,,,,83.09828949,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,
Seychelles,,,91.8364563,,,,,,,,93.95423126,,,,,,,,
Syrian Arab Republic,,,82.88825226,,80.84452057,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,
Chad,25.65420914,,,,28.38142967,,,,,,,,,,,26.00299072,22.31155014,,
East Asia & Pacific (IDA & IBRD countries),90.4522934,90.73628235,91.11235809,91.48216248,92.03041077,92.3993988,92.8290329,93.92202759,94.16535187,94.47115326,94.55667877,94.39024353,94.61723328,94.70957947,95.06233978,95.19319916,95.31730652,,
Europe & Central Asia (IDA & IBRD countries),97.14595795,97.21642303,97.29257965,97.35816956,97.48860931,97.67028046,97.63777924,97.72247314,97.74491882,98.20236969,98.47250366,98.69315338,98.80603027,98.84606171,98.87219238,98.89842224,98.95928192,,
Togo,53.17760086,,,,,,56.88837051,,,57.09337997,,60.40993881,,,,63.74562073,,,
Thailand,92.64653778,,,,,93.50646973,,,,,96.4309082,,,93.70207214,,92.86830902,,,
Tajikistan,99.45068359,,,,,,,,,,,,,,99.80000305,,,,
Turkmenistan,,,,,,,,,,,,,,,99.69999695,,,,
Latin America & the Caribbean (IDA & IBRD countries),88.76769257,88.95819855,89.04144287,89.86889648,89.74513245,90.26876068,90.16414642,90.64488983,91.01254272,91.21955109,91.40869141,91.98062897,92.23696136,92.2838974,92.72364044,93.08522797,93.38841248,,
Timor-Leste,,37.59999847,,,,,,50.59999847,,,58.30897903,,,,,,,,
Middle East & North Africa (IDA & IBRD countries),66.66792297,67.83296967,68.13793182,71.84307098,72.76931,73.18727875,72.18505859,72.67536163,73.18772888,72.95272064,73.79424286,73.97750854,74.48753357,74.77784729,75.28407288,76.12811279,76.55185699,,
Tonga,,,,,,,99.01846313,,,,,99.38552856,,,,,,,
South Asia (IDA & IBRD),57.65711975,58.13344955,59.18188858,60.06938934,60.84138107,60.60573959,60.81666183,61.92105103,63.41836166,64.123909,65.83157349,65.45858002,68.32433319,68.87436676,69.66934204,70.27439117,70.99703979,,
Sub-Saharan Africa (IDA & IBRD countries),56.24729919,57.18643951,57.68503952,58.09352112,59.97745895,59.01525879,58.51361084,58.0647316,57.55083847,58.81977081,59.1819191,60.7625885,61.81188965,62.31998062,63.04676056,63.62022018,64.35027313,,
Trinidad and Tobago,97.90000153,,,,,,,,,,98.69999695,,,,,,,,
Tunisia,,,,,74.29699707,,,77.19039917,77.56112671,,79.13057709,79.65390778,80.21875,,79.03643036,,,,
Turkey,,,,,87.36549377,88.22905731,88.1193924,88.65589905,,90.81671906,92.66059875,94.10608673,94.9197464,95.25666046,95.4396286,95.60141754,96.16732788,,
Tuvalu,,,,,,,,,,,,,,,,,,,
Tanzania,,,69.43090057,,,,,,,,67.80069733,,78.10059357,,,77.88722992,,,
Uganda,,,68.14250946,,,,71.37313843,,,,73.21188354,,70.1982193,,,,,,
Ukraine,,99.43041229,,,,,,,,,,,99.97434998,,,,,,
Upper middle income,90.54035187,90.78726196,90.96640778,91.5094223,91.91893768,92.24620819,92.41738129,93.32679749,93.56802368,93.78636932,93.84456635,94.17009735,94.30538177,94.34268188,94.55731964,94.78282928,94.95295715,,
Uruguay,,,,,,,97.78962708,97.8638916,98.16355896,98.26722717,98.07270813,98.33589935,98.39594269,98.36386871,98.43592834,98.52387238,98.56049347,98.61572266,
United States,,,,,,,,,,,,,,,,,,,
Uzbekistan,98.64257813,,,,,,,,,,,,,99.99485779,99.98055267,99.98383331,99.98657227,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,
"Venezuela, RB",,92.97982788,,,,,,95.1546402,,95.51199341,,94.7702179,,,,96.60521698,97.12709045,,
British Virgin Islands,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,
Vietnam,90.15612793,,,,,,,,,93.52044678,,,,,,,,,
Vanuatu,,,,,78.40000153,,,,,,,,,,84.69999695,,,,
World,81.48032379,81.74314117,82.07511902,82.56752014,83.03862762,83.00066376,82.99781799,83.51069641,83.83222961,84.14787292,84.56410217,84.59738922,85.3638916,85.49050903,85.80934143,86.01721191,86.24775696,,
Samoa,,,,,,,,,,,,98.97325897,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,54.09999847,,,,,,,,,,,,,,
South Africa,,,,,,,,88.71724701,,92.89485931,92.87731934,93.10214233,93.7294693,,94.13990021,94.36791992,,,
Zambia,,,69.14922333,,,,,61.42829132,,,83.00766754,,,,,,,,
Zimbabwe,,,,,,,,,,,,83.58271027,,,88.69342041,,,,
